timestamp,code,name,area,current,capacity,occupancy_pct
2025-09-04T17:58:22.780345+08:00,BTSC,北投運動中心,游泳池,0,200,0.00
2025-09-04T17:58:22.780345+08:00,BTSC,北投運動中心,健身房,29,60,48.33
2025-09-04T17:58:22.780345+08:00,DASC,大安運動中心,游泳池,95,250,38.00
2025-09-04T17:58:22.780345+08:00,DASC,大安運動中心,健身房,48,80,60.00
2025-09-04T17:58:22.780345+08:00,DTSC,大同運動中心,游泳池,67,250,26.80
2025-09-04T17:58:22.780345+08:00,DTSC,大同運動中心,健身房,51,90,56.67
2025-09-04T17:58:22.780345+08:00,JJSC,中正運動中心,游泳池,20,200,10.00
2025-09-04T17:58:22.780345+08:00,JJSC,中正運動中心,健身房,77,120,64.17
2025-09-04T17:58:22.780345+08:00,NHSC,內湖運動中心,游泳池,44,200,22.00
2025-09-04T17:58:22.780345+08:00,NHSC,內湖運動中心,健身房,68,130,52.31
2025-09-04T17:58:22.780345+08:00,SLSC,士林運動中心,游泳池,62,200,31.00
2025-09-04T17:58:22.780345+08:00,SLSC,士林運動中心,健身房,41,100,41.00
2025-09-04T17:58:22.780345+08:00,SSSC,松山運動中心,游泳池,66,400,16.50
2025-09-04T17:58:22.780345+08:00,SSSC,松山運動中心,健身房,78,100,78.00
2025-09-04T17:58:22.780345+08:00,WHSC,萬華運動中心,游泳池,30,100,30.00
2025-09-04T17:58:22.780345+08:00,WHSC,萬華運動中心,健身房,51,150,34.00
2025-09-04T17:58:22.780345+08:00,WSSC,文山運動中心,游泳池,74,200,37.00
2025-09-04T17:58:22.780345+08:00,WSSC,文山運動中心,健身房,47,110,42.73
2025-09-04T17:58:22.780345+08:00,XYSC,信義運動中心,游泳池,42,165,25.45
2025-09-04T17:58:22.780345+08:00,XYSC,信義運動中心,健身房,40,65,61.54
2025-09-04T17:58:22.780345+08:00,ZSSC,中山運動中心,游泳池,31,150,20.67
2025-09-04T17:58:22.780345+08:00,ZSSC,中山運動中心,健身房,35,50,70.00
2025-09-04T18:11:09.838214+08:00,BTSC,北投運動中心,游泳池,0,200,0.00
2025-09-04T18:11:09.838214+08:00,BTSC,北投運動中心,健身房,26,60,43.33
2025-09-04T18:11:09.838214+08:00,DASC,大安運動中心,游泳池,102,250,40.80
2025-09-04T18:11:09.838214+08:00,DASC,大安運動中心,健身房,53,80,66.25
2025-09-04T18:11:09.838214+08:00,DTSC,大同運動中心,游泳池,66,250,26.40
2025-09-04T18:11:09.838214+08:00,DTSC,大同運動中心,健身房,45,90,50.00
2025-09-04T18:11:09.838214+08:00,JJSC,中正運動中心,游泳池,0,200,0.00
2025-09-04T18:11:09.838214+08:00,JJSC,中正運動中心,健身房,76,120,63.33
2025-09-04T18:11:09.838214+08:00,NHSC,內湖運動中心,游泳池,39,200,19.50
2025-09-04T18:11:09.838214+08:00,NHSC,內湖運動中心,健身房,79,130,60.77
2025-09-04T18:11:09.838214+08:00,SLSC,士林運動中心,游泳池,67,200,33.50
2025-09-04T18:11:09.838214+08:00,SLSC,士林運動中心,健身房,36,100,36.00
2025-09-04T18:11:09.838214+08:00,SSSC,松山運動中心,游泳池,77,400,19.25
2025-09-04T18:11:09.838214+08:00,SSSC,松山運動中心,健身房,75,100,75.00
2025-09-04T18:11:09.838214+08:00,WHSC,萬華運動中心,游泳池,29,100,29.00
2025-09-04T18:11:09.838214+08:00,WHSC,萬華運動中心,健身房,61,150,40.67
2025-09-04T18:11:09.838214+08:00,WSSC,文山運動中心,游泳池,78,200,39.00
2025-09-04T18:11:09.838214+08:00,WSSC,文山運動中心,健身房,50,110,45.45
2025-09-04T18:11:09.838214+08:00,XYSC,信義運動中心,游泳池,44,165,26.67
2025-09-04T18:11:09.838214+08:00,XYSC,信義運動中心,健身房,42,65,64.62
2025-09-04T18:11:09.838214+08:00,ZSSC,中山運動中心,游泳池,37,150,24.67
2025-09-04T18:11:09.838214+08:00,ZSSC,中山運動中心,健身房,39,50,78.00
